"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country"
"714",2010,"BMW","M6","Subcompact Cars",5,"Automatic (S7)","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,13," Germany"
"715",2010,"BMW","M6 Convertible","Subcompact Cars",5,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,11," Germany"
"716",2010,"BMW","M6 Convertible","Subcompact Cars",5,"Automatic (S7)","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,82,11," Germany"
"717",2010,"Ford","Mustang","Subcompact Cars",5.4,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,14,22,17,85,13," United States"
"718",2010,"BMW","M5","Midsize Cars",5,"Manual 6-spd","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,99,14," Germany"
"719",2010,"BMW","M5","Midsize Cars",5,"Automatic (S7)","10","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,99,14," Germany"
"720",2009,"Ferrari","California","Minicompact Cars",4.3,"Auto(AM7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,75,7," Italy/ United States"
"721",2009,"BMW","750i","Large Cars",4.4,"Automatic (S6)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,15,22,17,106,14," Germany"
"722",2009,"BMW","750li","Large Cars",4.4,"Automatic (S6)","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,14,21,17,115,14," Germany"
"723",2010,"Audi","R8","Two Seaters",5.2,"Manual 6-spd","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,20,15,NA,NA," Germany"
"724",2010,"Audi","R8","Two Seaters",5.2,"Auto(AM6)","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,20,16,NA,NA," Germany"
"725",2010,"Audi","R8","Two Seaters",4.2,"Manual 6-spd","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,19,15,NA,NA," Germany"
"726",2010,"Audi","R8","Two Seaters",4.2,"Automatic (AM6)","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,18,15,NA,NA," Germany"
"727",2010,"Chevrolet","Corvette","Two Seaters",6.2,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,14,20,16,NA,NA," United States"
"728",2010,"Lamborghini","Gallardo Coupe","Two Seaters",5.2,"Manual 6-spd","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,20,15,NA,NA," Germany"
"729",2010,"Lamborghini","Gallardo Coupe","Two Seaters",5.2,"Auto(AM6)","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,NA,NA," Germany"
"730",2010,"Lamborghini","Gallardo Spyder","Two Seaters",5.2,"Manual 6-spd","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,20,14,NA,NA," Germany"
"731",2010,"Lamborghini","Gallardo Spyder","Two Seaters",5.2,"Auto(AM6)","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,20,16,NA,NA," Germany"
"732",2010,"Lamborghini","Murcielago","Two Seaters",6.5,"Manual 7-spd","12","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,8,13,10,NA,NA," Germany"
"733",2010,"Lamborghini","Murcielago","Two Seaters",6.5,"Auto(AM7)","12","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,9,14,11,NA,NA," Germany"
"734",2010,"Lamborghini","Murcielago Roadster","Two Seaters",6.5,"Manual 7-spd","12","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,8,13,10,NA,NA," Germany"
"735",2010,"Lamborghini","Murcielago Roadster","Two Seaters",6.5,"Auto(AM7)","12","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,9,14,11,NA,NA," Germany"
"736",2010,"Ferrari","California","Minicompact Cars",4.3,"Auto(AM7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,75,7," Italy/ United States"
